,Start Date,Start Price,End Date,End Price,Weekly Returns,Bin Label,News,Basics
0,2023-01-08,135.66395568847656,2023-01-15,137.73150634765625,0.015240235688891213,U2,[],"{""assetTurnoverTTM"": 0.4712, ""bookValue"": 21944, ""cashRatio"": 0.2503094746865577, ""currentRatio"": 0.9242, ""ebitPerShare"": 3.5095, ""eps"": 2.8697, ""ev"": 170445, ""fcfMargin"": 0.2043, ""fcfPerShareTTM"": 9.3422, ""grossMargin"": 0.5771, ""inventoryTurnoverTTM"": 17.3964, ""longtermDebtTotalAsset"": 0.363, ""longtermDebtTotalCapital"": 0.6337, ""longtermDebtTotalEquity"": 2.1049, ""netDebtToTotalCapital"": 0.5908, ""netDebtToTotalEquity"": 1.9624, ""netMargin"": 0.1623, ""operatingMargin"": 0.1985, ""payoutRatioTTM"": 0.922, ""pb"": 5.8049, ""peTTM"": 77.7668, ""pfcfTTM"": 15.0499, ""pretaxMargin"": 0.1984, ""psTTM"": 2.1045, ""ptbv"": 11.8385, ""quickRatio"": 0.8056, ""receivablesTurnoverTTM"": 8.5547, ""roaTTM"": 0.0128, ""roeTTM"": 0.0814, ""roicTTM"": 0.0228, ""rotcTTM"": 0.0161, ""salesPerShare"": 17.6801, ""sgaToSale"": 0.4229, ""tangibleBookValue"": 10760, ""totalDebtToEquity"": 2.3218, ""totalDebtToTotalAsset"": 0.4004, ""totalDebtToTotalCapital"": 0.699, ""totalRatio"": 1.2084, ""period"": ""2022-12-31""}"
1,2023-01-15,137.73150634765625,2023-01-22,133.3037872314453,-0.032147467443176536,D4,[],"{""assetTurnoverTTM"": 0.4712, ""bookValue"": 21944, ""cashRatio"": 0.2503094746865577, ""currentRatio"": 0.9242, ""ebitPerShare"": 3.5095, ""eps"": 2.8697, ""ev"": 170445, ""fcfMargin"": 0.2043, ""fcfPerShareTTM"": 9.3422, ""grossMargin"": 0.5771, ""inventoryTurnoverTTM"": 17.3964, ""longtermDebtTotalAsset"": 0.363, ""longtermDebtTotalCapital"": 0.6337, ""longtermDebtTotalEquity"": 2.1049, ""netDebtToTotalCapital"": 0.5908, ""netDebtToTotalEquity"": 1.9624, ""netMargin"": 0.1623, ""operatingMargin"": 0.1985, ""payoutRatioTTM"": 0.922, ""pb"": 5.8049, ""peTTM"": 77.7668, ""pfcfTTM"": 15.0499, ""pretaxMargin"": 0.1984, ""psTTM"": 2.1045, ""ptbv"": 11.8385, ""quickRatio"": 0.8056, ""receivablesTurnoverTTM"": 8.5547, ""roaTTM"": 0.0128, ""roeTTM"": 0.0814, ""roicTTM"": 0.0228, ""rotcTTM"": 0.0161, ""salesPerShare"": 17.6801, ""sgaToSale"": 0.4229, ""tangibleBookValue"": 10760, ""totalDebtToEquity"": 2.3218, ""totalDebtToTotalAsset"": 0.4004, ""totalDebtToTotalCapital"": 0.699, ""totalRatio"": 1.2084, ""period"": ""2022-12-31""}"
2,2023-01-22,133.3037872314453,2023-01-29,126.87459564208984,-0.04822962440064027,D5,[],{}
3,2023-01-29,126.87459564208984,2023-02-05,127.73373413085938,0.006771556468192719,U1,[],{}
